Case Number,Date,Year,Type,Country,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,original order
2016.04.07.b,07-Apr-16,2016,Unprovoked,USA,Fishing,M,34,Left hand bitten,N,,5' to 6' shark,5919
2016.04.07.a,07-Apr-16,2016,Invalid,USA,SUP,M,,Fell off board when spinner shark leapt from the water next to him. No injury to surfer,N,,,5918
2016.03.31,31-Mar-16,2016,Unprovoked,USA,Snorkeling,F,46,Minor injury to left foot,N,11h00,,5917
2016.03.30,30-Mar-16,2016,Unprovoked,AUSTRALIA,Surfing,M,22,Severe injury to thigh,N,19h00,,5916
2016.03.28.b,28-Mar-16,2016,Unprovoked,USA,,M,Teen,Minor injury to arm. Possibly caused by smalll nurse shark,N,,Shark involvement not confirmed,5915
2016.03.28.a,28-Mar-16,2016,Unprovoked,AUSTRALIA,Surfing,M,41,"No injury, board dented",N,11h00,,5914
2016.03.26,26-Mar-16,2016,Provoked,BAHAMAS,,M,9,Minor injury to chest PROVOKED INCIDENT,N,,"Nurse shark, 2.5-ft",5913
2016.03.13,13-Mar-16,2016,Invalid,USA,Surfing,,,Board reportedly bumped by shark. No injury,N,Morning,Shark involvement not confirmed,5912
2016.03.11,11-Mar-16,2016,Unprovoked,USA,Body surfing,M,19,Lacerations to right foot and ankle,N,13h30,,5911
2016.03.10,10-Mar-16,2016,Unprovoked,Fiji,Diving for beche-de-mer,M,45,FATAL,Y,Afternoon,,5910
2016.03.04,04-Mar-16,2016,Unprovoked,USA,,M,12,Superficial injury to foot,N,Afternoon,,5909
2016.03.03.R,Reported 03-Mar-2016,2016,Unprovoked,AUSTRALIA,Fishing,M,,Puncture wounds to right calf,N,Midnight,Bronze whaler,5908
2016.03.02,02-Mar-16,2016,Unprovoked,BRAZIL,Swimming,M,41,Minor injury to head,N,,Sandtiger shark,5907
2016.02.22,22-Feb-16,2016,Unprovoked,NEW CALEDONIA,Kite surfing,M,21,Puncture wounds to right thigh,N,19h00,,5906
2016.02.19, 19-Feb-2016,2016,Unprovoked,NEW CALEDONIA,Spearfishing,M,31,Forearm bitten,N,16h00,,5905
2016.02.12,12-Feb-16,2016,Unprovoked,DOMINICAN REPUBLIC,Wading,F,,Avulsion injury to lower leg,N,15h00,,5904
2016.02.10.R,Reported 10-Feb-2016,2016,Invalid,CAYMAN ISLANDS,Feeding stingrays?,M,65,Minor injury to wrist from Southern stingray,N,,No shark involvement,5903
2016.02.10,10-Feb-16,2016,Invalid,AUSTRALIA,Surfing,M,,"No injury, knocked off board",N,12h30,No shark involvement,5902
2016.02.05,05-Feb-16,2016,Unprovoked,AUSTRALIA,Walking,F,45,Foot nipped,N,13h20,,5901
2016.02.04,04-Feb-16,2016,Unprovoked,AUSTRALIA,Windsurfing,M,40,"No injury, shark bit board",N,Late afternoon,,5900
2016.01.29,29-Jan-16,2016,Boat,SOUTH AFRICA,Kayak fishing,M,,"No injury, shark capsized kayak",N,,,5899
2016.01.28,28-Jan-16,2016,Unprovoked,USA,Surfing,M,,Lacerations to both hands,N,14h00,"Reef shark, 5'",5898
2016.01.25,25-Jan-16,2016,Unprovoked,USA,Surfing,F,15,No injury,N,11h30,,5897
2016.01.24.b,24-Jan-16,2016,Unprovoked,USA,Spearfishing,M,,"Bruised ribs & tail bone, speargun broken and wetsuit cut",N,09h30 / 10h00,Bull sharks x 2,5896
2016.01.24.a,24-Jan-16,2016,Boat,UNITED ARAB EMIRATES,Fishing,M,,"No injury to occupants, shark leapt into boat",N,,Mako shark,5895
2016.01.23,23-Jan-16,2016,Unprovoked,USA,Paddle boarding,M,48,No injury,N,Morning,"Tiger shark, 14'",5894
2016.01.11.R,Reported 11-Jan-2016,2016,Unprovoked,AUSTRALIA,Surfing,M,,Laceration to right foot,N,,Wobbegong shark,5893
2016.01.05,05-Jan-16,2016,Unprovoked,AUSTRALIA,Wading,M,11,Laceration to right calf,N,Afternoon,Blacktip shark,5892
2016.01.02,02-Jan-16,2016,Unprovoked,AUSTRALIA,Spearfishing,M,31,Lacerations to arms & leg,N,11h30,3 m shark,5891
2015.12.26,26-Dec-15,2015,Boat,SOUTH AFRICA,Kayak Fishing,M,,"No injury, kayak damaged",N,Morning,"White shark, 3 m",5890
2015.12.25,25-Dec-15,2015,Unprovoked,SPAIN,Swimming,F,38,Lacerations to left forearm,N,,"Silky shark, 6.5'",5889
2015.12.22,22-Dec-15,2015,Unprovoked,USA,Paddle boarding,M,71,"No injury, shark bit board",N,Morning,9' shark,5888
2015.12.21.b,21-Dec-15,2015,Unprovoked,AUSTRALIA,Surfing,M,43,"No injury, shark leapt on surfboard",N,07h00,"Bronze whaler shark, 6'",5887
2015.12.21.a,21-Dec-15,2015,Unprovoked,BRAZIL,Scuba diving,M,32,Right hand & part of forearm removed,N,,"Tiger shark, 1.5 m ",5886
2015.12.19,19-Dec-15,2015,Unprovoked,ARUBA,Sea disaster,M,58,FATAL,Y,,,5885
2015.12.13,13-Dec-15,2015,Boat,AUSTRALIA,Fishing,,,"No injury, shark rammed boat & bit motor",N,10h30,"White shark, 3.5 m",5884
2015.12.11,11-Dec-15,2015,Unprovoked,BAHAMAS,Lobster fishing,M,26,"Bitten on thigh, abdomen & hand",N,,Bull shark,5883
2015.12.08,08-Dec-15,2015,Unprovoked,SOUTH AFRICA,Swimming / Wading,F,22,Lacerations to both hands and forearms,N,Morning,,5882
2015.11.16,16-Nov-15,2015,Unprovoked,USA,Surfing,M,,Right heel injured,N,Afternoon,,5880
2015.11.15.b,15-Nov-15,2015,Unprovoked,USA,Swimming,F,,Leg injured,N,Morning,,5879
2015.11.15.a,15-Nov-15,2015,Unprovoked,USA,Surfing,M,28,Lacerations to hand,N,,"Spinner shark, 7'",5878
2015.11.10,10-Nov-15,2015,Unprovoked,AUSTRALIA,Surfing,M,20,Injury to left thigh,N,18h15,"Bull shark, 2.8 to 3.1 m",5877
2015.12.23,07-Nov-15,2015,Invalid,USA,Surfing,F,9,Lower left leg injured,N,11h00,Shark involvement not confirmed,5876
2015.11.03,03-Nov-15,2015,Unprovoked,USA,Swimming,M,54,Laceration to right ankle,N,11h00,,5875
2015.11.01.b,01-Nov-15,2015,Unprovoked,USA,Wading,F,28,Injury to right ankle/calf & hand,N,14h00,3' to 5' shark,5874
2015.11.01.a,01-Nov-15,2015,Unprovoked,MOZAMBIQUE,Fishing,M,19,"Arms severely injured, surgically amputated",N,04h00,,5873
2015.10.30,30-Oct-15,2015,Unprovoked,AUSTRALIA,Spearfishing,M,50,Minor injury,N,,,5872
2015.10.28.a,28-Oct-15,2015,Unprovoked,USA,Body boarding,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,14h50,,5871
2015.10.25,25-Oct-15,2015,Unprovoked,SOUTH AFRICA,Surfing,M,42,"Lacerations to right calf, knee & hip",N,15h00,"White shark, 3 to 3.5m ",5870
2015.10.21,21-Oct-15,2015,Unprovoked,USA,Surfing,M,21,Lacerations to left hand,N,14h30,5' shark,5869
2015.10.19,19-Oct-15,2015,Unprovoked,USA,Surfing,M,21,Left foot bitten,N,13h50,"Spinner shark, 5'",5868
2015.10.17.c,17-Oct-15,2015,Unprovoked,MOZAMBIQUE,Fishing for shrimp,F,35,FATAL,Y,,,5867
2015.10.17.b,17-Oct-15,2015,Invalid,USA,Surfing,M,32,Left foot bitten by eel,N,19h20,No shark involvement,5866
2015.10.17.a,17-Oct-15,2015,Unprovoked,USA,Swimming,M,44,Injuries to lower legs,N,11h30,"Tiger shark, 7'",5865
2015.10.13,13-Oct-15,2015,Boat,USA,Kayak Fishing,M,,"No injury, shark rammed kayak repeatedly",N,11h00,Hammerhead sp.,5864
2015.10.09.b,09-Oct-15,2015,Unprovoked,USA,Boogie boarding,F,9,Laceration to forearm,N,16h20,,5863
2015.10.09.a,09-Oct-15,2015,Unprovoked,USA,Surfing,M,25,"Left leg severed below the knee, defense injuries to left hand",N,10h25,"Tiger shark, 13' ",5862
2015.10.08,08-Oct-15,2015,Unprovoked,MOZAMBIQUE,Fishing,M,,"Arm severely injured, surgically amputated",N,,,5861
2015.10.07,07-Oct-15,2015,Unprovoked,AUSTRALIA,Surfing,M,18,Foot injured,N,16h50,,5860
2015.10.05.b,05-Oct-15,2015,Unprovoked,USA,Body boarding,M,22,2 lacerations to ankle,N,13h00,,5859
2015.10.05.a,05-Oct-15,2015,Unprovoked,USA,Wading,M,13,Foot & hands bitten,N,10h00,4' to 5' shark,5858
2015.10.04,04-Oct-15,2015,Unprovoked,USA,Surfing,M,14,Severe lacerations to left hand,N,08h30,"Blacktip shark, 4' to 5'",5857
2015.09.29,29-Sep-15,2015,Unprovoked,USA,Surfing,M,22,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20,"Blacktip shark, 5' to 6'",5856
2015.09.26,26-Sep-15,2015,Unprovoked,AUSTRALIA,Snorkeling,F,7,Laceration to leg,N,Afternoon,,5855
2015.09.24,24-Sep-15,2015,Unprovoked,USA,Kayak fishing,M,,"No injury, kayak damaged",N,10h45-11h15,"White shark, 19'",5854
2015.09.20.d,20-Sep-15,2015,Unprovoked,USA,Surfing,M,14,Minor injury to left ankle,N,16h45,juvenile shark,5853
2015.09.20.c,20-Sep-15,2015,Unprovoked,USA,Spearfishing,M,27,Severe laceration to left leg,N,15h52,"Tiger shark, 13'",5852
2015.09.20.b,20-Sep-15,2015,Unprovoked,USA,Wading,M,12,Significant injuries to leg,N,12h30,4' shark,5851
2015.09.20.a,20-Sep-15,2015,Unprovoked,USA,Photographing fish,M,16,Injury to right hand / wrist,N,07h30,,5850
2015.09.18,18-Sep-15,2015,Unprovoked,USA,Swimming,M,,Lacerations to calf,N,19h00,,5849
2015.09.17,17-Sep-15,2015,Unprovoked,USA,Surfing,M,20,Injury to right foot,N,15h00,,5848
2015.09.08,08-Sep-15,2015,Unprovoked,AUSTRALIA,Surfing,M,42,Minor laceration to hand,N,06h15,6' shark,5847
2015.09.06,06-Sep-15,2015,Unprovoked,USA,Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N,17h30,"White shark, 11' to 12'",5846
2015.09.05,05-Sep-15,2015,Provoked,USA,Kayak Fishing,M,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,14h40,Hammerhead shark.,5845
2015.09.04,04-Sep-15,2015,Unprovoked,AUSTRALIA,Surf-skiing,M,62,Inuries to lower left leg & ankle,N,11h30,"White shark, 2.5 m",5844
2015.09.03,03-Sep-15,2015,Unprovoked,USA,,M,,Right foot bitten,N,16h00,4' shark?,5843
2015.09.01,01-Sep-15,2015,Unprovoked,THAILAND,Wading,F,37,Left foot & ankle bitten,N,08h30,small shark,5842
2015.09.00,Sep-15,2015,Unprovoked,FIJI,Spearfishing,M,,Leg bitten,N,,Tiger shark,5841
2015.08.29.b,29-Aug-15,2015,Unprovoked,USA,Surfing,F,54,"No injury, surfboard bitten",N,10h25,"White shark, 11' to 12'",5840
2015.08.29.a,29-Aug-15,2015,Unprovoked,USA,Surfing,M,21,"No injury, shark struk sufer's leg and his board",N,10h00,"White shark, 10' to 12' ",5839
2015.08.22.b,22-Aug-15,2015,Invalid,USA,,M,,Wound to right lower leg,N,19h45,Shark involvement not confirmed,5838
2015.08.22.a,22-Aug-15,2015,Unprovoked,AUSTRALIA,Surfing,M,38,Severe laceration to left buttock & thigh,N,17h10,,5837
2015.08.20,20-Aug-15,2015,Unprovoked,USA,Surfing,M,15,"Injuries to left calf, arm and hand",N,12h30,4' shark,5836
2015.08.19,19-Aug-15,2015,Unprovoked,USA,Walking,F,10,Lacerations to right leg,N,15h30,3' shark,5835
2015.08.18.b,18-Aug-15,2015,Unprovoked,USA,Kayak Fishing,M,22,"No injury, kayak bitten",N,07h30,"White shark, 13'",5834
2015.08.18.a,18-Aug-15,2015,Invalid,SPAIN,Swimming,M,10,Minor injury when he attempted to touch a fish. ,N,11h00,Shark involvement not confirmed,5833
2015.08.10,10-Aug-15,2015,Provoked,USA,Spearfishing,M,57,Right hand bitten  PROVOKED INCIDENT,N,08h00,Hammerhead shark. 6' to 7',5832
2015.07.31,31-Jul-15,2015,Unprovoked,AUSTRALIA,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,06h00,White shark,5831
2015.07.26.b,26-Jul-15,2015,Unprovoked,USA,Surfing,M,25,Minor injury to sole of foot,N,19h00,"Blacktip or spinner shark, 4'",5830
2015.07.26.a,26-Jul-15,2015,Invalid,USA,Floating,F,35,"2' cut to dorsum of foot, 2 puncture wounds to sole",N,10h10,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",5829
2015.07.25,25-Jul-15,2015,Unprovoked,AUSTRALIA,Scallop diving on hookah,M,46,FATAL,Y,10h00,White shark,5828
2015.07.23.b,23-Jul-15,2015,Provoked,USA,Kayak Fishing,M,31,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,,"Mako shark, 100-lb",5827
2015.07.23.a,23-Jul-15,2015,Unprovoked,AUSTRALIA,Surfing,M,40s,Left hand bitten,N,,"Bronze whaler shark, 1.5m",5826
2015.07.22,22-Jul-15,2015,Unprovoked,REUNION,Surfing,M,45,Arm bitten,N,,"Bull shark, 2m",5825
2015.07.19,19-Jul-15,2015,Unprovoked,SOUTH AFRICA,Surfing,M,34,No injury,N,,White shark,5824
2015.07-10,10-Jul-15,2015,Unprovoked,USA,Surfing,M,38,"No injury, shark bumped & damaged board",N,08h45,"White shark, 7'",5823
2015.07.08,08-Jul-15,2015,Invalid,USA,Treading water,M,39,Laceration to back,N,,Shark involvement not cofirmed,5822
2015.07.06,06-Jul-15,2015,Invalid,FRENCH POLYNESIA,Swimming,M,,Parallel lacerations to torso inconsistent with shark bite,N,,No shark involvement,5821
2015.07.04.b,04-Jul-15,2015,Unprovoked,BAHAMAS,Spearfishing,F,23,Lacerations to lower leg & ankle,N,,6' shark,5820
2015.07.04.a,04-Jul-15,2015,Unprovoked,USA,,M,32,Lacerations to right hand & forearm,N,Evening,,5819
2015.07.03,03-Jul-15,2015,Unprovoked,AUSTRALIA,Surfing,M,52,"No injury, shark bit surfboard",N,09h00,White shark,5818
2015.07.02,02-Jul-15,2015,Unprovoked,AUSTRALIA,Body boarding ,M,32,Significant injuries to lower legs,N,09h00,White shark,5817
2015.07.01,01-Jul-15,2015,Unprovoked,USA,Swimming,M,68,"Injuries to torso, hip, lower leg & hands",N,12h10,6' to 7' shark,5816
2015.06.30.b,30-Jun-15,2015,Unprovoked,AUSTRALIA,Surfing,M,,Hand bitten,N,,,5815
2015.06.30.a,30-Jun-15,2015,Unprovoked,USA,Playing in the water,M,12,Shallow lacerations & puncture to lateral left leg,N,18h05,4' to 5' shark,5814
2015.06.27.b,27-Jun-15,2015,Unprovoked,USA,Swimming,M,18,"Injuries to right calf, buttock and both hands",N,16h00,Bull shark,5813
2015.06.27.a,27-Jun-15,2015,Unprovoked,SOUTH AFRICA,Body Boarding,M,19,"Right leg severed, multiple lacerations to left leg",N,14h40,White shark,5812
2015.06.26.c,26-Jun-15,2015,Invalid,USA,Swimming,F,,Minor lacerations to leg,N,19h30,Shark involvement not confirmed,5811
2015.06.26.b,26-Jun-15,2015,Unprovoked,SOUTH AFRICA,Surfing,M,23,Multiple lacerations to torso & leg,N,16h00,"White shark, 2m to 3 m",5810
2015.06.26.a,26-Jun-15,2015,Unprovoked,USA,Standing,M,43,Puncture wounds to foot,N,11h00,4' shark,5809
2015.06.25.R,Reported 25-Jun-2015,2015,Provoked,AUSTRALIA,Swimming,M,19,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,,Wobbegong shark,5808
2015.06.25,25-Jun-15,2015,Unprovoked,USA,Body surfing?,M,47,Multiple lacerations to back,N,11h41,,5807
2015.06.24.b,24-Jun-15,2015,Unprovoked,USA,Swimming,M,6,Minor injury to foot,N,12h25,Sandtiger shark,5806
2015.06.24.a,24-Jun-15,2015,Invalid,AUSTRALIA,Surfing,F,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,09h30,White shark,5805
2015.06.23,23-Jun-15,2015,Unprovoked,USA,Standing,M,9,Minor injury to calf ,N,,small shark,5804
2015.06.19,19-Jun-15,2015,Unprovoked,PUERTO RICO,Spearfishing,M,36,Injury to hand,N,Morning,,5803
2015.06.17,17-Jun-15,2015,Unprovoked,USA,Swimming,M,10,Minor injury to calf ,N,13h00,,5802
2015.06.14.b,14-Jun-15,2015,Unprovoked,USA,Wading,M,16,Arm amputated below shoulder,N,17h51,Bull shark,5801
2015.06.14.a,14-Jun-15,2015,Unprovoked,USA,Wading,F,12,Left arm amputated at elbow & severe injury to leg,N,16h12,Bull shark,5800
2015.06.13,13-Jun-15,2015,Unprovoked,USA,,F,,Severe laceration to leg,N,,Mako shark,5799
2015.06.11,11-Jun-15,2015,Unprovoked,USA,Boogie boarding,F,13,Minor lacerations to foot,N,12h45,4' shark,5798
2015.06.07,07-Jun-15,2015,Unprovoked,USA,Playing,M,11,Lacerations to right calf,N,10h50,"Bull shark, 5'",5797
2015.06.05,05-Jun-15,2015,Unprovoked,USA,Attempting to rescue a shark,F,17,Puncture wound to finger,N,,small nurse shark,5796
2015.06.01,01-Jun-15,2015,Unprovoked,REUNION,Surfing,M,47,Left forearm bitten,N,15h00,"Bull shark, 2.5 m",5795
2015.05.29.b,29-May-15,2015,Unprovoked,USA,Standing,F,14,Left foot bitten,N,15h00,,5794
2015.05.29.a,29-May-15,2015,Unprovoked,USA,Wading,F,19,Minor lacerations to dorsum of right foot,N,13h45,,5793
